RoundID,MatchID,Team Initials,Coach Name,Line-up,Shirt Number,Player Name,Position,Event,
255951,300186508,NED,Louis VAN GAAL (NED),N,22,VORM,GK,,2014
255951,300186508,MEX,HERRERA Miguel (MEX),N,1,J. CORONA,GK,,2014
255951,300186508,NED,Louis VAN GAAL (NED),N,23,KRUL,GK,,2014
255951,300186508,MEX,HERRERA Miguel (MEX),N,12,A. TALAVERA,GK,,2014
255951,300186508,NED,Louis VAN GAAL (NED),N,4,MARTINS INDI,,I9',2014
255951,300186508,MEX,HERRERA Miguel (MEX),N,5,D. REYES,,IH46',2014
255951,300186508,NED,Louis VAN GAAL (NED),N,7,JANMAAT,,,2014
255951,300186508,MEX,HERRERA Miguel (MEX),N,8,M. FABIAN,,,2014
255951,300186508,NED,Louis VAN GAAL (NED),N,8,DE GUZMAN,,,2014
255951,300186508,MEX,HERRERA Miguel (MEX),N,9,R. JIMENEZ,,,2014
255951,300186508,NED,Louis VAN GAAL (NED),N,13,VELTMAN,,,2014
255951,300186508,MEX,HERRERA Miguel (MEX),N,11,A. PULIDO,,,2014
255951,300186508,NED,Louis VAN GAAL (NED),N,14,KONGOLO,,,2014
255951,300186508,MEX,HERRERA Miguel (MEX),N,14,J. HERNANDEZ,,I75',2014
255951,300186508,NED,Louis VAN GAAL (NED),N,16,CLASIE,,,2014
255951,300186508,MEX,HERRERA Miguel (MEX),N,16,M. PONCE,,,2014
255951,300186508,NED,Louis VAN GAAL (NED),N,17,LENS,,,2014
255951,300186508,MEX,HERRERA Miguel (MEX),N,17,I. BRIZUELA,,,2014
255951,300186508,NED,Louis VAN GAAL (NED),N,18,FER,,,2014
255951,300186508,MEX,HERRERA Miguel (MEX),N,20,J. AQUINO,,I61',2014
255951,300186508,NED,Louis VAN GAAL (NED),N,19,HUNTELAAR,,I76' P90',2014
255951,300186508,MEX,HERRERA Miguel (MEX),N,21,C. PE�A,,,2014
255951,300186508,NED,Louis VAN GAAL (NED),N,21,MEMPHIS,,I56',2014
255951,300186508,MEX,HERRERA Miguel (MEX),N,23,J. VAZQUEZ,,,2014
255951,300186459,CRC,PINTO Jorge Luis (COL),S,1,NAVAS K.,GK,Y90',2014
255951,300186459,GRE,SANTOS Fernando (POR),S,1,KARNEZIS,GK,,2014
255951,300186459,CRC,PINTO Jorge Luis (COL),S,3,GONZALEZ G.,,,2014
255951,300186459,GRE,SANTOS Fernando (POR),S,2,MANIATIS,,O78',2014
255951,300186459,CRC,PINTO Jorge Luis (COL),S,4,UMA�A M.,,,2014
255951,300186459,GRE,SANTOS Fernando (POR),S,4,MANOLAS,,Y72',2014
255951,300186459,CRC,PINTO Jorge Luis (COL),S,5,BORGES C.,,,2014
255951,300186459,GRE,SANTOS Fernando (POR),S,7,SAMARAS,,,2014
255951,300186459,CRC,PINTO Jorge Luis (COL),S,6,DUARTE O.,,Y42' Y66' RSY66',2014
255951,300186459,GRE,SANTOS Fernando (POR),S,10,KARAGOUNIS,C,,2014
255951,300186459,CRC,PINTO Jorge Luis (COL),S,7,BOLA�OS C.,,O83',2014
255951,300186459,GRE,SANTOS Fernando (POR),S,14,SALPINGIDIS,,O69',2014
255951,300186459,CRC,PINTO Jorge Luis (COL),S,9,CAMPBELL J.,,,2014
255951,300186459,GRE,SANTOS Fernando (POR),S,15,TOROSIDIS,,,2014
255951,300186459,CRC,PINTO Jorge Luis (COL),S,10,RUIZ B.,C,G52' Y70',2014
255951,300186459,GRE,SANTOS Fernando (POR),S,16,LAZAROS,,,2014
255951,300186459,CRC,PINTO Jorge Luis (COL),S,15,DIAZ J.,,,2014
255951,300186459,GRE,SANTOS Fernando (POR),S,19,SOKRATIS,,G90',2014
255951,300186459,CRC,PINTO Jorge Luis (COL),S,16,GAMBOA C.,,O77',2014
255951,300186459,GRE,SANTOS Fernando (POR),S,20,CHOLEVAS,,,2014
255951,300186459,CRC,PINTO Jorge Luis (COL),S,17,TEJEDA Y.,,Y48' O66',2014
255951,300186459,GRE,SANTOS Fernando (POR),S,22,SAMARIS,,Y36' O58',2014
255951,300186459,CRC,PINTO Jorge Luis (COL),N,18,PEMBERTON P.,GK,,2014
255951,300186459,GRE,SANTOS Fernando (POR),N,12,GLYKOS,GK,,2014
255951,300186459,CRC,PINTO Jorge Luis (COL),N,23,CAMBRONERO D.,GK,,2014
255951,300186459,GRE,SANTOS Fernando (POR),N,13,KAPINO,GK,,2014
255951,300186459,CRC,PINTO Jorge Luis (COL),N,2,ACOSTA J.,,I77',2014
255951,300186459,GRE,SANTOS Fernando (POR),N,3,TZAVELLAS,,,2014
255951,300186459,CRC,PINTO Jorge Luis (COL),N,8,MYRIE D.,,,2014
255951,300186459,GRE,SANTOS Fernando (POR),N,5,MORAS,,,2014
255951,300186459,CRC,PINTO Jorge Luis (COL),N,11,BARRANTES M.,,,2014
255951,300186459,GRE,SANTOS Fernando (POR),N,6,TZIOLIS,,,2014
255951,300186459,CRC,PINTO Jorge Luis (COL),N,12,FRANCIS W.,,,2014
255951,300186459,GRE,SANTOS Fernando (POR),N,8,KONE,,,2014
255951,300186459,CRC,PINTO Jorge Luis (COL),N,13,GRANADOS O.,,Y57',2014
255951,300186459,GRE,SANTOS Fernando (POR),N,9,MITROGLOU,,I58',2014
255951,300186459,CRC,PINTO Jorge Luis (COL),N,14,BRENES R.,,I83',2014
255951,300186459,GRE,SANTOS Fernando (POR),N,11,VYNTRA,,,2014
255951,300186459,CRC,PINTO Jorge Luis (COL),N,19,MILLER R.,,,2014
255951,300186459,GRE,SANTOS Fernando (POR),N,17,GEKAS,,I69',2014
255951,300186459,CRC,PINTO Jorge Luis (COL),N,20,CALVO D.,,,2014
255951,300186459,GRE,SANTOS Fernando (POR),N,18,FETFATZIDIS,,,2014
255951,300186459,CRC,PINTO Jorge Luis (COL),N,21,URE�A M.,,,2014
255951,300186459,GRE,SANTOS Fernando (POR),N,21,KATSOURANIS,,I78',2014
