Year,Datetime,Stage,Stadium,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Half-time Home Goals,Half-time Away Goals,MatchID,Home Team Initials,Away Team Initials
1990,21 Jun 1990 - 21:00,Group F,Sant Elia,England,1,0,Egypt, ,0,0,150,ENG,EGY
1990,23 Jun 1990 - 17:00,Round of 16,San Paolo,Cameroon,2,1,Colombia,Cameroon win after extra time ,0,0,102,CMR,COL
1990,23 Jun 1990 - 21:00,Round of 16,Stadio San Nicola,Czechoslovakia,4,1,Costa Rica, ,1,0,129,TCH,CRC
1990,24 Jun 1990 - 17:00,Round of 16,Stadio delle Alpi,Brazil,0,1,Argentina, ,0,0,25,BRA,ARG
1990,24 Jun 1990 - 21:00,Round of 16,Giuseppe Meazza,Germany FR,2,1,Netherlands, ,0,0,196,FRG,NED
1990,25 Jun 1990 - 17:00,Round of 16,Luigi Ferraris,"rn"">Republic of Ireland",0,0,Romania,Republic of Ireland win on penalties (5 - 4),0,0,248,IRL,ROU
1990,25 Jun 1990 - 21:00,Round of 16,Stadio Olimpico,Italy,2,0,Uruguay, ,0,0,264,ITA,URU
1990,26 Jun 1990 - 17:00,Round of 16,Marc Antonio Bentegodi,Spain,1,2,Yugoslavia,Yugoslavia win after extra time ,0,0,181,ESP,YUG
1990,26 Jun 1990 - 21:00,Round of 16,Renato Dall Ara,England,1,0,Belgium,England win after extra time ,0,0,55,ENG,BEL
1990,30 Jun 1990 - 17:00,Quarter-finals,Comunale,Yugoslavia,0,0,Argentina,win on penalties (2 - 3),0,0,31,YUG,ARG
1990,30 Jun 1990 - 21:00,Quarter-finals,Stadio Olimpico,Italy,1,0,"rn"">Republic of Ireland", ,1,0,243,ITA,IRL
1990,01 Jul 1990 - 17:00,Quarter-finals,Giuseppe Meazza,Germany FR,1,0,Czechoslovakia, ,1,0,197,FRG,TCH
1990,01 Jul 1990 - 21:00,Quarter-finals,San Paolo,England,3,2,Cameroon,England win after extra time ,0,0,103,ENG,CMR
1990,03 Jul 1990 - 20:00,Semi-finals,San Paolo,Italy,1,1,Argentina,win on penalties (3 - 4),0,0,28,ITA,ARG
1990,04 Jul 1990 - 20:00,Semi-finals,Stadio delle Alpi,Germany FR,1,1,England,win on penalties (4 - 3),0,0,159,FRG,ENG
1990,07 Jul 1990 - 20:00,Match for third place,Stadio San Nicola,Italy,2,1,England, ,0,0,162,ITA,ENG
1990,08 Jul 1990 - 20:00,Final,Stadio Olimpico,Germany FR,1,0,Argentina, ,0,0,27,FRG,ARG
1994,17 Jun 1994 - 19:30,Group C,Cotton Bowl,Spain,2,2,Korea Republic, ,0,0,3050,ESP,KOR
1994,17 Jun 1994 - 15:00,Group C,Soldier Field,Germany,1,0,Bolivia, ,0,0,3049,GER,BOL
1994,18 Jun 1994 - 11:30,Group A,Pontiac Silverdome,USA,1,1,Switzerland, ,1,1,3051,USA,SUI
1994,18 Jun 1994 - 16:00,Group E,Giants Stadium,Italy,0,1,"rn"">Republic of Ireland", ,0,1,3052,ITA,IRL
1994,18 Jun 1994 - 19:30,Group A,Rose Bowl,Colombia,1,3,Romania, ,1,2,3053,COL,ROU
1994,19 Jun 1994 - 12:30,Group F,Citrus Bowl,Belgium,1,0,Morocco, ,1,0,3054,BEL,MAR
1994,19 Jun 1994 - 16:00,Group E,RFK Stadium,Norway,1,0,Mexico, ,0,0,3055,NOR,MEX
1994,19 Jun 1994 - 19:30,Group B,Rose Bowl,Cameroon,2,2,Sweden, ,1,1,3056,CMR,SWE
1994,20 Jun 1994 - 19:30,Group F,RFK Stadium,Netherlands,2,1,Saudi Arabia, ,0,1,3058,NED,KSA
1994,20 Jun 1994 - 16:00,Group B,Stanford Stadium,Brazil,2,0,Russia, ,1,0,3057,BRA,RUS
1994,21 Jun 1994 - 12:30,Group D,Foxboro Stadium,Argentina,4,0,Greece, ,2,0,3059,ARG,GRE
1994,21 Jun 1994 - 19:30,Group D,Cotton Bowl,Nigeria,3,0,Bulgaria, ,2,0,3061,NGA,BUL
1994,21 Jun 1994 - 16:00,Group C,Soldier Field,Germany,1,1,Spain, ,0,1,3060,GER,ESP
1994,22 Jun 1994 - 16:00,Group A,Pontiac Silverdome,Romania,1,4,Switzerland, ,1,1,3062,ROU,SUI
1994,22 Jun 1994 - 19:30,Group A,Rose Bowl,USA,2,1,Colombia, ,1,0,3063,USA,COL
1994,23 Jun 1994 - 16:00,Group E,Giants Stadium,Italy,1,0,Norway, ,0,0,3064,ITA,NOR
1994,23 Jun 1994 - 19:30,Group C,Foxboro Stadium,Korea Republic,0,0,Bolivia, ,0,0,3065,KOR,BOL
1994,24 Jun 1994 - 12:30,Group E,Citrus Bowl,Mexico,2,1,"rn"">Republic of Ireland", ,1,0,3066,MEX,IRL
1994,24 Jun 1994 - 19:30,Group B,Pontiac Silverdome,Sweden,3,1,Russia, ,1,1,3068,SWE,RUS
1994,24 Jun 1994 - 16:00,Group B,Stanford Stadium,Brazil,3,0,Cameroon, ,1,0,3067,BRA,CMR
1994,25 Jun 1994 - 12:30,Group F,Citrus Bowl,Belgium,1,0,Netherlands, ,0,0,3069,BEL,NED
1994,25 Jun 1994 - 12:30,Group F,Giants Stadium,Saudi Arabia,2,1,Morocco, ,2,1,3070,KSA,MAR
1994,25 Jun 1994 - 16:00,Group D,Foxboro Stadium,Argentina,2,1,Nigeria, ,2,1,3071,ARG,NGA
1994,26 Jun 1994 - 12:30,Group D,Soldier Field,Bulgaria,4,0,Greece, ,1,0,3072,BUL,GRE
1994,26 Jun 1994 - 16:00,Group A,Rose Bowl,USA,0,1,Romania, ,0,1,3073,USA,ROU
1994,26 Jun 1994 - 16:00,Group A,Stanford Stadium,Switzerland,0,2,Colombia, ,0,1,3074,SUI,COL
1994,27 Jun 1994 - 16:00,Group C,Cotton Bowl,Germany,3,2,Korea Republic, ,3,0,3076,GER,KOR
1994,27 Jun 1994 - 16:00,Group C,Soldier Field,Bolivia,1,3,Spain, ,0,1,3075,BOL,ESP
1994,28 Jun 1994 - 12:30,Group E,Giants Stadium,"rn"">Republic of Ireland",0,0,Norway, ,0,0,3077,IRL,NOR
