Team Initials,Player Name
ARG,BIGLIA
BRA,BIGODE
SCO,Bill BROWN
ENG,Bill ECKERSLEY
USA,Bill FIEDLER
USA,Bill LEHMANN
ENG,Bill McGARRY
USA,Bill McLEAN
ENG,Bill NICHOLSON
NIR,Billy BINGHAM
SCO,Billy BREMNER
USA,Billy GONSALVES
NIR,Billy HAMILTON
NZL,Billy McCLURE
NIR,Billy SIMPSON
ENG,Billy WRIGHT
TRI,BIRCHALL
SVN,BIRSA
BRA,BISMARCK
FRA,Bixente LIZARAZU
DEN,Bjarne GOLDBAEK
SWE,Bjorn ANDERSSON
SWE,Bjorn NORDQVIST
NOR,BJ�RNEBYE
YUG,Blagoje MARJANOVIC
MEX,BLANCO
CZE,BLAZEK
NED,BLIND
SWE,Bo LARSSON
POR,BOA MORTE
GER,BOATENG
GHA,BOATENG D.
USA,Bob ANNIS
USA,Bob CRADDOCK
CAN,Bob LENARDUZZI
PAR,BOBADILLA
NIR,Bobby CAMPBELL
ENG,Bobby CHARLTON
SCO,Bobby CLARK
SCO,Bobby COLLINS
SCO,Bobby COMBE
SCO,Bobby EVANS
ENG,Bobby MOORE
ENG,Bobby ROBSON
ENG,Bobby SMITH
NIR,Bobby TRAINOR
USA,BOCANEGRA
ITA,BOCCHETTI
GER,BODE
FRG,Bodo ILLGNER
GER,BOEHME
BEL,BOFFIN
ROU,Bogdan STELEA
DEN,BOGELUND
FRA,BOGHOSSIAN
POL,Bohdan MASZTALER
TCH,Bohumil VESELY
CIV,BOKA
CRO,BOKSIC
KOR,BOKYUNG
ARG,BOLATTI
COL,BOLA�O
CRC,BOLA�OS C.
POL,Boleslaw HABOWSKI
CIV,BOLLY
ARG,BONANO
BUL,Boncho GENCHEV
ECU,BONE
PAR,BONET
CMR,Boneventure DJONKEP
CMR,BONG
HON,BONIEK
ITA,BONUCCI
RSA,BOOTH
CRC,BORGES C.
BUL,BORIMIROV
BUL,Boris GAGANELOV
URS,Boris KUZNETSOV
BUL,Borislav MIHAYLOV
BEL,BORKELMANS
USA,BORNSTEIN
GER,BOROWSKI
POL,BORUC
POL,BOSACKI
NED,BOSCHKER
CRO,BOSNJAK
BEL,BOSSUT
TUN,BOUAZIZI
SEN,BOUBA DIOP
ALG,BOUDEBOUZ
NED,Boudewijn ZENDEN
ALG,BOUGHERRA
ALG,BOUGUERRA
MAR,Boujamaa BENKHRIF
NED,BOULAHROUZ
TUN,BOUMNIJEL
TUN,BOUMNIJEL 
FRA,BOUMSONG
TUN,BOUZAIENE
BUL,Boycho VELICHKOV
GHA,BOYE
NZL,BOYENS
AUS,BOZANIC
BUL,Bozhidar GRIGOROV
BUL,Bozhidar ISKRENOV
BUL,Bozhil KOLEV
YUG,Bozo BROKETA
NED,BRAAFHEID
USA,Brad FRIEDEL
USA,BRADLEY
ALG,BRAHIMI
BRA,BRANCO
BRA,BRANDAO
BRA,BRANDAOZINHO
YUG,Branislav HRNJICEK
YUG,Branislav SEKULIC
YUG,Branko BRNOVIC
AUS,Branko BULJEVIC
YUG,Branko KRALJ
YUG,Branko OBLAK
CAN,Branko SEGOTA
YUG,Branko STANKOVIC
YUG,Branko ZEBEC
MEX,Braulio LUNA
CHI,Braulio MUSSO
CHI,BRAVO
SVN,BRE?KO
IRL,BREEN
RSA,Brendan AUGUSTINE
CRC,BRENES R.
AUS,BRESCIANO
TCH,Bretislav DOLEJSI
RSA,Brian BALOYI
USA,Brian BLISS
ENG,Brian LABONE
USA,Brian MAISONNEUVE
USA,Brian McBRIDE
NZL,Brian TURNER
ENG,BRIDGE
BRA,BRILHANTE
BRA,BRITO
BRA,BRITTO
PAR,BRIZUELA
NZL,BROCKIE
USA,BROOKS
SWE,Bror MELLBERG
ENG,BROWN
POL,BROZEK
CRO,BROZOVI?
USA,Bruce MURRAY
SCO,Bruce RIOCH
CAN,Bruce WILSON
YUG,Bruno BELIN
FRA,Bruno BELLONE
