year,match_date,stage,stadium,home_name,home_final_score,away_final_score,away_name,win_condition,home_half_score,away_half_score,match_id
2014,08 Jul 2014 - 17:00,Semi-finals,Estadio Mineirao,Brazil,1,7,Germany, ,0,5,300186474
2014,09 Jul 2014 - 17:00,Semi-finals,Arena de Sao Paulo,Netherlands,0,0,Argentina,Argentina win on penalties (2 - 4),0,0,300186490
2014,12 Jul 2014 - 17:00,Play-off for third place,Estadio Nacional,Brazil,0,3,Netherlands, ,0,2,300186502
2014,13 Jul 2014 - 16:00,Final,Estadio do Maracana,Germany,1,0,Argentina,Germany win after extra time ,0,0,300186501
year,match_date,stage,stadium,home_name,home_final_score,away_final_score,away_name,win_condition,home_half_score,away_half_score,match_id
2010,11 Jun 2010 - 16:00,Group A,Soccer City Stadium,South Africa,1,1,Mexico, ,0,0,300061454
2010,11 Jun 2010 - 20:30,Group A,Cape Town Stadium,Uruguay,0,0,France, ,0,0,300061453
2010,12 Jun 2010 - 13:30,Group B,Port Elizabeth Stadium,Korea Republic,2,0,Greece, ,1,0,300061459
2010,12 Jun 2010 - 16:00,Group B,Ellis Park Stadium,Argentina,1,0,Nigeria, ,1,0,300061460
2010,12 Jun 2010 - 20:30,Group C,Royal Bafokeng Sports Palace,England,1,1,USA, ,1,1,300061466
2010,13 Jun 2010 - 13:30,Group C,Peter Mokaba Stadium,Algeria,0,1,Slovenia, ,0,0,300061465
2010,13 Jun 2010 - 16:00,Group D,Loftus Versfeld Stadium,Serbia,0,1,Ghana, ,0,0,300061471
2010,13 Jun 2010 - 20:30,Group D,Durban Stadium,Germany,4,0,Australia, ,2,0,300111116
2010,14 Jun 2010 - 13:30,Group E,Soccer City Stadium,Netherlands,2,0,Denmark, ,0,0,300061478
2010,14 Jun 2010 - 16:00,Group E,Free State Stadium,Japan,1,0,Cameroon, ,1,0,300061477
2010,14 Jun 2010 - 20:30,Group F,Cape Town Stadium,Italy,1,1,Paraguay, ,0,1,300061484
2010,15 Jun 2010 - 13:30,Group F,Royal Bafokeng Sports Palace,New Zealand,1,1,Slovakia, ,0,0,300061483
2010,15 Jun 2010 - 16:00,Group G,Port Elizabeth Stadium,C�te d'Ivoire,0,0,Portugal, ,0,0,300061489
2010,15 Jun 2010 - 20:30,Group G,Ellis Park Stadium,Brazil,2,1,Korea DPR, ,0,0,300061490
2010,16 Jun 2010 - 13:30,Group H,Mbombela Stadium,Honduras,0,1,Chile, ,0,1,300061495
